name,model,price,annonce_date,OS,num_of_user_ratings,users_rating
سامسونگ,Galaxy A55,"19,440,000",2024,Android,10,4.3
موتورولا,Razr 40 Ultra,"42,369,000",2023,Android,10,4.3
شیائومی,Redmi Note 12R Pro,"11,630,000",2023,Android,10,4.6
اپل,iPhone 11,"27,200,000",2019,iOS,9,4.7
سامسونگ,---,"16,800,000",2024,Android,9,4.6
شیائومی,Redmi K50,"16,700,000",2022,Android,9,3.6
موتورولا,Moto G54 5G,"9,249,000",2023,Android,8,4.4
شیائومی,Redmi Note 12 5G,"10,700,000",2023,Android,8,4.5
هوآوی,nova Y71,"6,199,000",2023,Android,8,4.8
شیائومی,Redmi 10 5G NFC,"5,699,000",2022,Android,8,4.8
شیائومی,REDMI 10A,"4,399,000",2022,Android,7,4
تی سی ال,40 SE,"5,750,000",2023,Android,7,4.4
تی سی ال,40R,"6,349,000",2022,Android,7,3.7
شیائومی,Redmi Note 12 Pro Speed,"13,990,000",2022,Android,6,4.2
شیائومی,Redmi Note 12 Pro Plus 5G,"15,890,000",2022,Android,6,4.2
سامسونگ,Galaxy Z Fold4,"55,000,000",2022,Android,5,3.4
اپل,iPhone 13 Pro Max ZDA - ریفربیش پارت نامبر F (نات اکتیو - ایرادات کالا توسط کمپانی اپل برطرف شده است),"72,750,000",2021,iOS,5,3.4
اپل,iPhone 13 Pro Max ZDA - ریفربیش پارت نامبر F (نات اکتیو - ایرادات کالا توسط کمپانی اپل برطرف شده است),"89,250,000",2021,iOS,5,4
شیائومی,12 2201123G,"18,739,000",2021,Android,4,4.5
ریلمی,---,"18,999,000",2024,Android,4,4.8
اپل,iPhone 13 Pro CH,"105,930,000",2021,iOS,3,4.3
سامسونگ,Galaxy A55,"19,790,000",2024,Android,3,3.7
ریلمی,---,"4,175,000",2024,Android,3,4
شیائومی,Redmi Note 12 Pro Plus 5G,"15,890,000",2022,Android,2,5
ویکو,10,"5,750,000",2022,Android,2,4
موتورولا,---,"4,499,000",2024,Android,1,5
اوپو,A38,"5,860,000",2023,Android,1,3
اوپو,A78 4G,"7,400,000",2023,Android,1,5
اوپو,A58 4G,"6,299,000",2023,Android,1,5
شیائومی,---,"13,370,000",2023,Android,1,4
